id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,satuan,tahun
63,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,0,KORBAN,2021
64,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,1,KORBAN,2021
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,0,KORBAN,2021
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,6,KORBAN,2021
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,0,KORBAN,2021
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,0,KORBAN,2021
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,0,KORBAN,2021
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,0,KORBAN,2021
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,2,KORBAN,2021
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,1,KORBAN,2021
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0,KORBAN,2021
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,0,KORBAN,2021
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,KORBAN,2021
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,1,KORBAN,2021
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,KORBAN,2021
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,2,KORBAN,2021
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,0,KORBAN,2021
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,0,KORBAN,2021
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,KORBAN,2021
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,KORBAN,2021
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,1,KORBAN,2021
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,1,KORBAN,2021
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,2,KORBAN,2021
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,5,KORBAN,2021
