id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,satuan,tahun
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,SLTA,2,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,TK,0,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,PAUD,0,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,"TIDAK 
SEKOLAH",5,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SD,17,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SLTP,12,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SLTA,6,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,"PERGURUAN 
TINGGI",1,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,TK,0,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,PAUD,0,KORBAN,2018
32042018,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,NA,1,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,NA,1,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,"TIDAK 
SEKOLAH",1,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SD,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SLTP,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SLTA,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,TK,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,PAUD,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,NA,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,"TIDAK 
SEKOLAH",0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SD,2,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SLTP,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SLTA,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,"PERGURUAN 
TINGGI",0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,TK,0,KORBAN,2018
32052018,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,PAUD,0,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,NA,1,KORBAN,2018
32062018,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,"TIDAK 
SEKOLAH",2,KORBAN,2018
